AccountID,CompanyName,Company Revenue in millions,EmployeeHeadCount,CompanyIndustry,CompanySpecialties,CompanyType,Country,City,Timezone
1130,AVI-SPL,1200,2200.0,IT Services and IT Consulting,"AV Systems Integration, Video Communications, Video Conferencing, Telepresence, Design/Build, Control Rooms, Security, Digital Signage, Collaboration Solutions, Video, Unified Communications, Onsite Support, AV/IT, Cloud-based services, Managed Services, Audio, Digital solutions, Workplace technology, experience technolgy, audio visual, voice calling, contact centers",Privately Held,United States,Tampa,EST
1140,AVL in North America,500,1200.0,Motor Vehicle Manufacturing,"Battery, Controls and Electronics, Engine, Transmission, Vehicle System, Instrumentation and Testing Solutions, Simulation Technologies, Commercial On-Road, Electrification, Large Engines, Passenger Cars, Emission, Fuel Consumption, Production Orientation, Development Process, Military Background, Autonomous Driving, ADAS, Connected Mobility, Propulsion Systems",Privately Held,United States,Plymouth,EST
1150,Abacus Consulting,200,1800.0,Information Technology & Services,"Strategy Consulting and Research, Enterprise Resource Planning (ERP) Solutions, Business Process Outsourcing , Human Capital Solutions, Human Resource Outsourcing, Public Sector Development, Financial Advisory Services, Customer Experience Management, Cloud Adoption and Excellence, Digital Transformation, Utilities Transformation, Big Data Solutions",Partnership,Pakistan,Lahore,PKT
1160,Abacus Recruiter,-,20000.0,Human Resources Services,"executive search, human resource outsourcing, talent acquisition, bulk recruitment, psychometric assessments, manpower services",Privately Held,Pakistan,Lahore,PKT
1170,Abanos Furniture Industries and Decoration,100,400.0,Construction,"Hotel Interior Design & Refurbishment center, School, University, Offices and Auditorium, Landscaping Wood Works, Pergolas, Decking, and Benches, Furniture, Hospital, Medical and clinic interior, Wooden Joinery Interiors, Doors Fire rated/Acoustic Doors",Privately Held,United Arab Emirates,Dubai,GST
1180,"Abcor Home Health, Inc.",100,500.0,Hospitals and Health Care,"Home Health Care, Home Care, HomeMaker (HMK)",Nonprofit,United States,Arlington Heights,EST
1190,AbilityFirst,30,600.0,Non-profit Organizations,"Developmental Disabilities, Disabilities, Special Needs, Autism, Physical Disabilities, Cerebral Palsy, Down Syndrome, Children, Adults, Life Skills, Socialization",Nonprofit,United States,Pasadena,EST
1200,Abiomed,900,1800.0,Medical Device,"Cardiovascular Medical Device Manufacturer, Cardiac Surgery Medical Device Manufacturer",Public Company,United States,Danvers,EST
1210,Abt Associates,600,1400.0,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
1220,Abt Global,800,3000.0,Research Services,"research, consulting, technical assistance, data collection, survey research",Privately Held,United States,Rockville,EST
1230,Abu Dhabi National Hotels Compass ME LLC,700,4000.0,Food & Beverages,"Events, Hospitality, Office Boys, Cleaning, Housekeeping, Catering, Laundry, Pest Control, Healthcare, Education, Oil & Gas, Defense, Support Services, Soft Services, Facilities Management",Partnership,United Arab Emirates,Abu Dhabi,GST
1240,Accion Labs,300,1800.0,IT Services and IT Consulting,"Cloud, Mobile development, UI/UX design, social media and social commerce, Web 2.0 enablement, Business Intelligence, SaaS, Analytics, Data Warehousing",Privately Held,United States,Bridgeville,EST
1250,Aclara,150,500.0,Utilities,"Utility Data Communications, Advanced Metering Infrastructure, Automatic Meter Reading, Smart Grid, Smart Infrastructure Solutions, Software, AclaraConnect, Smart Grid Sensors, Smart Meters",Privately Held,United States,Saint Louis,EST
1260,Acuity Brands,3300,12000.0,"Appliances, Electrical, and Electronics Manufacturing","Lighting Fixtures, Lighting Controls, Lighting Solutions, Technology, IoT, Smart Buildings, Internet of Things, Industry Solutions, LED Lighting, Building Automation",Public Company,United States,Atlanta,EST
1270,Address Hotels + Resorts,1200,1500.0,Hospitality,,Public Company,United Arab Emirates,Dubai,GST
1280,Advanced Bionics,400,1200.0,Medical Equipment Manufacturing,"Cochlear Implants, Medical Devices, Technology",Public Company,United States,Santa Clarita,EST
1290,Advanced Military Maintenance Repair & Overhaul Center (AMMROC),1000,2200.0,Airlines and Aviation,,Privately Held,United Arab Emirates,Abu Dhabi,GST
1300,Advanced Petrochemical Company,1000,2000.0,Chemical Manufacturing,Manufacturing of Polypropylen,Public Company,Saudi Arabia,Jubail Industrial City,AST
1310,Advocate Condell Medical Center,800,2800.0,Hospitals and Health Care,,Nonprofit,United States,Libertyville,EST
1320,Advocate Lutheran General Hospital,900,3500.0,Hospitals and Health Care,,Nonprofit,United States,Park Ridge,EST
1330,Aebi Schmidt USA,100,300.0,Machinery Manufacturing,"Airport snow removal equipment, Snow and ice control equipment, Truck equipment manufacturer, Upfitter, Trailer manufacturing, Snowpows, Salt spreaders, Sweepers, Truck bodies, Dump bodies, Municipal snow & ice equipment, Commercial work trucks, Fleet vehicle solutions, Attachments, Pavement marking equipment, Custom engineering, Installation",Privately Held,United States,Chilton,EST
1340,Aecon-Wachs,1000,5000.0,Construction,"Welding Services, Field Machining, Field Welding, Maintenance projects, Construction, EPC projects, Installation, Decommissioning, Project Management, Quality Assurance, Custom Metal Fabrication, Orbital & Manual Welding, Electrical, Project Controls, Precision Machining & Equipment Design, Pipe Bending & Water Jetting, I&C Installations, Staff Augmentation, CAD Modeling, Rapid Craft Deployment, Design Engineering",Public Company,United States,Jackson,EST
1350,Aero Alliance Products & Services LLC,50,200.0,Aviation and Aerospace Component Manufacturing,,Privately Held,United States,Houston,EST
1360,Affinity Plus Federal Credit Union,300,200.0,Banking,"Banking, Internet Banking, Free Checking, Savings and Investments, Participation Rewards Program, Small Business Banking, Home Loans, Auto Loans, Visa Credit Cards",Nonprofit,United States,Saint Paul,EST
1370,Affirm,760,5000.0,Financial Services,"eCommerce, Payments, Installment Loans, Millennials, Financial Services, Online Payments, Retail, Personal Finance, FinTech, Financial Technology, Financial Management",Public Company,United States,San Francisco,EST
1380,AgileThought,200,2200.0,IT Services and IT Consulting,"Web & Mobile Application Development, User Interface & Experience Design (UI/UX), SharePoint Solutions, Agile Coaching & Training, Business Intelligence, Cloud Solutions & Managed Services, Application Lifecycle Management; ALM & DevOps, Rapid Prototyping, DevOps, Predictive Analytics, Machine Learning, Cloud, Azure, Agile Transformation, Agile, DevSecOps, Consulting, Automation",Privately Held,United States,Irving,EST
1390,Ahold eCommerce Sales Company,1000,2500.0,Retail,"Internet Grocery Shopping and Delivery, eCommerce, Consumer Goods, Customer Service",Public Company,United States,Jersey City,EST
1400,Air Arabia,2300,2000.0,Airlines and Aviation,,Public Company,United Arab Emirates,Sharjah,GST
1410,Ajman University,150,900.0,Higher Education,,Educational Institution,United Arab Emirates,Ajman,GST
1420,AkzoNobel Packaging Coatings,500,1500.0,Chemical Manufacturing,,Public Company,United States,Hudson,EST
1430,Al Abdulkarim Tower,50,200.0,Real Estate,,Privately Held,Saudi Arabia,Khobar,AST
1440,Al Ahli Bank of Kuwait,900,2000.0,Banking,"Corporate, Investment, Private, Financing, Retail",Public Company,Kuwait,Safat,AST
1450,Al Ansari Exchange,400,2500.0,Financial Services,"Foreign Exchange, Remittances, Bill Payments, Wage Disbursal, Credit Card Encashment, Investment & Savings Scheme, Mobile Top Up, Online Remittance",Privately Held,United Arab Emirates,Dubai,GST
1460,Al Ghurair Group,7000,28000.0,Financial Services,"Manufacturing, Packaging, Real Estate, Metals, Plastics, Shopping Malls, Investments",Privately Held,United Arab Emirates,Dubai,GST
1470,Al Habtoor Motors,1500,3000.0,Motor Vehicle Manufacturing,Automotive,Privately Held,United Arab Emirates,Dubai,GST
1480,Al Jazeera Media Network,10000,3000.0,Broadcast Media,"News, Broadcast, Digital, Human Rights",Privately Held,Qatar,Doha,AST
1490,Al Murjan Hospital,70,300.0,Hospitals and Health Care,,Privately Held,Saudi Arabia,An Nahdah District,AST
1500,Al Rostamani Group,1000,4000.0,Executive Offices,"Automotive, Civil Contracting, Financial Services, Travel & Tourism, IT System Integration, Electrical Contracting, Real Estate & Property Development, Automotive Aftermarket, Engineering",Privately Held,United Arab Emirates,Dubai,GST
1510,Al Salama Hospital,300,1000.0,Hospitals and Health Care,,Privately Held,Saudi Arabia,An Nahdah District,AST
1520,Al Watania For Industries,3.2,46.0,Packaging & Containers,"Packaging, Building Materials, Can Manufacturing, Plastic Manufacturing, Corrugated Carton Manufacturing, Caps Manufacturing, Paper Industry, Metal Industry, Closure Systems, chemicals , energy ",Privately Held,Saudi Arabia,Riyadh,AST
1530,AlFaisal International Academy,25,300.0,Computer Networking Products,,Educational Institution,Saudi Arabia,Riyadh,AST
1540,AlMansoori Petroleum Services,500,2200.0,Oil and Gas,"Colied Tubing & Stimulation, Directional Drilling, Drill Stem Testing, Early Production Facilities, H2S & Safety Services, Inspection (BHA, Coiled Tubing, Lifting Equipment, OCTG, Rigs), Logging & Perforating, Manpower Supply, Oilfield Manufacturing, Representation of Companies, Safety & Technical Training, Slickline, Well Testing, Workover",Privately Held,United Arab Emirates,Abu Dhabi,GST
1550,Alaincoop,300,1000.0,Retail,,Privately Held,United Arab Emirates,Al Ain,GST
1560,Aldridge Electric,400,1500.0,Construction,"Electrical Infrastructure Work, Transit, Drilled Foundations, Specialty Foundations, Utility Contractor",Privately Held,United States,Libertyville,EST
1570,"Alexion Pharmaceuticals, Inc.",5000,2500.0,Biotechnology Research,"Biotechnology, Biopharmaceutical, Complement Inhibition, Metabolic Disorders, Neurology, Rare Diseases, Research and Development, hematology, nephrology",Public Company,United States,Boston,EST
1580,Alfanar Projects,1200,3400.0,Construction,"Building Construction (Industrial & Commercial) Projects, Mechanical, Electrical & Plumbing Projects (MEP), Water Projects, Infrastructure Projects, Renewable Energy Projects, Green Fuels, Green Hydrogen, Smart Grid",Privately Held,Saudi Arabia,Riyadh,AST
1590,Alghanim Industries,6100,14000.0,Retail,"Engineering, Retail, automotive sales and service, manufacture of insulation, manufacture of PEB, fast moving consumable goods, oil & gas services/products, office automation, insurance, consumer credit, travel, logistics & warehousing, talent development, advertising",Privately Held,Kuwait,Sharq,AST
1600,Ali Abdulwahab Al Mutawa Commercial Co.,800,1400.0,Retail,"Home & Office Furniture, Kitchen Sets, Home Appliances, Consumer Goods, Pharmaceuticals, Outdoors, Sports & Fashion, Real Estate",Privately Held,Kuwait,Kuwait City,AST
1610,Alliance Data,2200,8000.0,Financial Services,"Private label credit solutions, digital marketing, cobrand credit solutions, payment technology, payments, finance solutions",Public Company,United States,Columbus,EST
1620,Allied Building Products Corp.,2500,2200.0,Building Materials,"Building Products, Distribution, Interior Products, Exterior Products, Commercial Roofing, Residential roofing, Siding, Windows, Doors, Gypsum, Acoustical Tile, Insulation, Solar, Waterproofing, Cements & Coatings, Viroc",Public Company,United States,East Rutherford,EST
1630,"Allstate Financial Services, LLC",5000,16000.0,Financial Services,,Public Company,United States,Lincoln,EST
1640,Almoosa Health Group,800,4200.0,Hospitals and Health Care,"Neurosurgery, Ophthalmology, Urology, Plastic & Burn Surgery, Vascular Surgery, Physiotherapy, Dermatology, Nursery & Neonatal Intensive Care, Radiology, Pediatrics, Cardiology, Nephrology, Hemodialysis, Vascular Surgery, Dentistry, oncology, orthopedic",Privately Held,Saudi Arabia,Almubrraz,AST
1650,Almosafer,300,1200.0,Travel Arrangements,"Hotel Bookings, Airline Ticketing, Holiday Packages, Corporate Services",Privately Held,Saudi Arabia,Riyadh,AST
1660,Alnylam Pharmaceuticals,800,1400.0,Biotechnology Research,"Biotech, Pharmaceuticals, Biopharma, Drug Development, Rare Diseases, RNAi",Public Company,United States,Cambridge,EST
1670,Altimetrik,300,2500.0,Software Development,"DevOps, Product Engineering, Platform Engineering, Data Engineering, Cloud, Advanced Analytics, Talent Assessment, Talent Transformation, DevSecOps, Digital Lending Platform, Digital Business, Information Engineering, Cybersecurity, Site Reliability, Cloud Engineering, Digital Transformation, Data and Analytics",Privately Held,United States,Southfield,EST
1680,Ambu (King Systems),200,1500.0,Medical Equipment Manufacturing,"Anesthesia, Respiratory, Critical Care, Airway Managent",Public Company,United States,Noblesville,EST
1690,AmeriHealth Caritas,3200,4500.0,Hospital & Health Care,"Medicaid Managed Care, Behavioral Health Care Services, Medicare Advantage SNP, Pharmacy Benefits Management, Specialty Pharmacy, Long Term Services and Supports",Privately Held,United States,Philadelphia,EST
1700,America's Best Contacts & Eyeglasses,900,2200.0,Retail,"Primary Eye Care, Eyeglasses, Eye Exams, Contact Lenses, Sunglasses",Privately Held,United States,Lawrenceville,EST
1710,American Chemical Society,1100,1500.0,Non-profit Organization Management,"non-profit, chemistry, scientific society, publishing",Nonprofit,United States,Washington,EST
1720,American Eagle Airlines,5000,13000.0,Aviation and Aerospace Component Manufacturing,,Public Company,United States,Irving,EST
1730,American Medical Response,3200,33000.0,Hospitals and Health Care,"emergency (911) medical transportation, non-emergency medical transportation, air ambulance medical services, event medical services, managed transportation services, paramedic & EMT training, Advanced life support transports, Basic life support transports, Federal disaster response, interfacility transportation",Privately Held,United States,Greenwood Village,EST
1740,American NTN Bearing Manufacturing Corp.,500,1500.0,Motor Vehicle Manufacturing,,Privately Held,United States,Elgin,EST
1750,American National,1200,3000.0,Insurance,"Personal Lines Insurance, Life Insurance, Annuities, Property & Casualty, auto insurance",Public Company,United States,Galveston,EST
1760,American Tire Distributors,5000,14000.0,Automotive,"Tires, Wheels, Supplies",Privately Held,United States,Huntersville,EST
1770,American University,900,2200.0,Higher Education,"School of International Service, School of Public Affairs, School of Communication, Kogod School of Business, Washington College of Law, College of Arts and Science, School of Professional and Extended Studies",Educational Institution,United States,Washington,EST
1780,American University School of Education,492,500.0,Higher Education,"antiracism, teacher education",Educational Institution,United States,Washington,EST
1790,American University Washington College of Law,37,400.0,Higher Education,"Environmental and Energy Law, International and Comparative Law, Intellectual Property, Trial Advocacy, Clinical Legal Education, Criminal Law, Law and Government, Criminal Justice, Public Interest, Health Law and Policy, Gender and the Law, Human Rights",Educational Institution,United States,Washington,EST
1800,American University of the Middle East (AUM),184,500.0,Higher Education,"College of Business Administration, College of Engineering and Technology, English Preparatory Program (EPP), Accounting, Finance, Management Information System (MIS), Marketing, Human Resource Management, Civil Engineering, Industrial Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Information Systems and Technology, Architectural Engineering, MBA, Telecommunications and Networking Technology",Educational Institution,Kuwait,Kuwait,AST
1810,American Water,3700,7000.0,Utilities,"Water, Wastewater",Public Company,United States,Camden,EST
1820,"Amkor Technology, Inc.",5100,29100.0,Semiconductor Manufacturing,"Semiconductors, IC Test, Wafer Bumping, MEMS & Sensors, Wafer Level Packaging, 3D Packaging, TSV, Flip Chip, Package-on-Package, SiP, Chip-on-Chip, Wafer Test, IC Design, Leadframe, Laminate, WLFO, Semiconductor, CSP, BGA, Power Discretes, dsmbga, advanced packaging, wlcsp, automotive, iot, ai, computing, memory",Public Company,United States,Tempe,EST
1830,Amreli Steels Limited,1000,2000.0,Wholesale Building Materials,"Steel Rebars, Steel Billets",Public Company,Pakistan,Karachi,PKT
1840,Amsted Rail,1200,3000.0,Railroad Equipment Manufacturing,,Privately Held,United States,Chicago,EST
1850,Anadarko Petroleum Corporation,3300,2600.0,Oil & Energy,"oil & gas, deepwater, onshore, domestic, international, exploration & production",Public Company,United States,The Woodlands,EST
1860,Andalusco,50,150.0,Wholesale Building Materials,,Public Company,Morocco,Casablanca,WET
1870,AngloGold Ashanti,3400,6400.0,Mining,"Mining, Exploration",Public Company,South Africa,Johannesburg,Africa/Johannesburg
1880,Anixter,8300,9000.0,Wholesale,"Wire, Cable, Industrial Automation, Video Surveillance, Access Control, Security, Fiber Optic, Data Center, Networking, Infrastructure, Global, Electronic, Supply Chain Services, Electrical, Wireless, Distributed Antenna Systems (DAS), Fire and Life Safety, Audio/Video, Electrical Supplies, Door Locking Hardware, Lighting, MRO",Public Company,United States,Pittsburgh,EST
1890,Ansys,1800,4100.0,Software Development,"Design Optimization, Finite Element Analysis (FEA, FEM), Computational Fluid Dynamics (CFD), Electromagnetics, Explicit Dynamics, Consulting, Grid Generation, Meshing, Multi-body Dynamics, Multiphysics, FSI, Virtual Prototyping, Structural Analysis, Engineering Simulation",Public Company,United States,Canonsburg,EST
1900,Anthropologie,2000,8000.0,Retail Apparel and Fashion,,Public Company,United States,Philadelphia,EST
1910,Apache Corporation,3200,3400.0,Oil and Gas,"natural gas, crude oil, natural gas liquids",Public Company,United States,Houston,EST
1920,Apache Design Solutions,50,200.0,Semiconductor Manufacturing,"EDA, Aerospace, Automotive, Manufacturing, Electronics, Biomedical, Energy & Defense, Power Analysis & Optimization Solutions",Public Company,United States,San Jose,PST
1930,Apotex Corp.,2000,10000.0,Pharmaceutical Manufacturing,,Privately Held,United States,Fort Lauderdale,EST
1940,Applied Industrial Technologies,3200,6200.0,Wholesale,"Bearings, Power Transmission, Fluid Power, Industrial Distribution, Industrial Supply, Flow Control, Automation",Public Company,United States,Cleveland,EST
1950,Aptar,2800,13000.0,Packaging and Containers Manufacturing,,Public Company,United States,Crystal Lake,EST
1960,Aramark Refreshments,3100,18000.0,Food and Beverage Services,"Breakroom Services, Coffee, Water, Vending",Public Company,United States,Philadelphia,EST
1970,Aramark Uniform Services,3100,18000.0,Facilities Services,"Apparel, Uniforms, Floor Mats, Towels & Linen Services, Cleanroom Garments, Scrubs, Microfiber Mop Systems",Public Company,United States,Burbank,EST
1980,ArcelorMittal USA,15000,18000.0,Mining,,Public Company,United States,Cleveland,EST
1990,Arcesium,300,1200.0,IT Services and IT Consulting,"SaaS, Financial Technology, Treasury, Data Warehousing, Middle-Office Services, Back-Office Services, Reconciliation, Swaps Management, Performance Allocations, Hedge Funds, Private Equity, Financial Services, Institutional Asset Management, Fund Administration, Capital Markets, Asset Servicers, Post-Trade Technology, Data Management, Asset Management, Alternative Asset Management, Prime Brokers, Managed Services, Co-sourcing, Cloud Technology",Privately Held,United States,New York City,EST
2000,Archdiocese of St. Louis,150,1000.0,Religious Institutions,,Nonprofit,United States,St. Louis,EST
2010,Archway Marketing Services,1000,2500.0,Advertising Services,"fulfillment & distribution, logistics, order & item management, BPO, fulfillment, print management, promotional products, branded merchandise, point of execution compliance, print services",Privately Held,United States,Maple Grove,EST
2020,"Areas, United States",500,1500.0,Hospitality,"Retail, Food & Beverage, Airports, Highways",Privately Held,United States,Miami,EST
2030,Aricent,600,10000.0,Software Development,"Design, Product Engineering",Privately Held,United States,Santa Clara,EST
2040,"Aris Horticulture, Inc.",50,150.0,Farming,"Aris Hort, Keepsake, Green Leaf, Farming, Perennials, Hydrangea, Mandevilla, Hibiscus, Azaleas, Starter Plants, Unrooted Cuttings, Finished Plants, Wholesale, Sales, Marketing, Brokered Products",Privately Held,United States,Barberton,EST
2050,ArisGlobal,300,1500.0,Software Development,"Pharmacovigilance, Safety Analytics Solution, Signal Detection & Risk Management, ICSR, Regulatory Information Management, eCTD publishing, Regulatory Analytics, ISO IDMP Solution, Regulatory Submissions Tracking, Clinical Data Management (RTSM | EDC | eCOA), Clinical Operations (Trial Disclosure | SUSAR Reporting | eTMF), CTMS, Site Payments, Medical Affairs Platform, Global Medical Information Management, Medical Content Management, Mobile Adverse Event Reporting, Product Complaint Management, Regulatory Publishing, Document Management, Automation",Privately Held,United States,Waltham,EST
2060,Arizona Public Service - APS,3400,6100.0,Utilities,,Public Company,United States,Phoenix,EST
2070,Arla Foods KSA,1500,5000.0,Food and Beverage Manufacturing,,Public Company,Saudi Arabia,Riyadh,AST
2080,Armstrong World Industries,1200,3100.0,Building Materials,"Commercial Ceilings and Wall Systems, Residential Ceilings",Public Company,United States,Lancaster,EST
2090,Arrow Systems Integration,100,300.0,Telecommunications,"Training, Professional Services, Managed Services, Maintenance, Technical Support, Unified Communications and Collaboration, Contact Center, Networking, Monitoring and Fault Management",Public Company,United States,Plano,EST
2100,Arthrex,2600,1200.0,Medical Equipment Manufacturing,"Orthopedic Surgical Procedures, Orthopedic Medical Education, Orthopedic Surgical Products, Medical Device Innovation, Medical Device Manufacturing, Arthroscopy & Sports Medicine, Total Joint Arthroplasty, Imaging & Resection, orthopedics, orthopedic medical device, orthobiologics, Vet Systems",Privately Held,United States,Naples,EST
2110,Astound Commerce,200,1200.0,IT Services and IT Consulting,"Global ecommerce Solutions, ecommerce Pioneers, Digital Strategy, Demandware Premier Partner, Online Sales, Client Online Experience Perfection, Engeneering Talant, Top ecommerce Platforms, ecommerce Delivery, Rapid Launch, ecommerce Operations Support, ux design, UI Optimization, Digital Marketing, Salesforce Commerce Cloud, Magento, Demandware, ecommerce, digital commerce",Privately Held,United States,New York,EST
2120,Astound Digital,300,1800.0,IT Services and IT Consulting,"Global ecommerce Solutions, ecommerce Pioneers, Digital Strategy, Demandware Premier Partner, Online Sales, Client Online Experience Perfection, Engeneering Talant, Top ecommerce Platforms, ecommerce Delivery, Rapid Launch, ecommerce Operations Support, ux design, UI Optimization, Digital Marketing, Salesforce Commerce Cloud, Magento, Demandware, ecommerce, digital commerce",Privately Held,United States,New York,EST
2130,AtlantiCare,1200,5800.0,Hospitals and Health Care,"Cardiac Care, Bariatric Surgery, Cancer Care, Women's Health & Wellness",Nonprofit,United States,Atlantic City,EST
2140,Atmel Corporation,900,5200.0,Semiconductor Manufacturing,"Microcontroller Solutions (8- and 32--bit), Automotive Solutions, Touch Technology Solutions, Embedded Software - Studio 6, Wireless Solutions, Internet of Things Solutions",Public Company,United States,San Jose,EST
2150,Augusta Health,800,4500.0,Hospitals and Health Care,"Cardiology, Oncology, Joint Replacement and Rehabilitation, Hospice and Home Health, Urgent Care, Obstetrics & Gynecology",Nonprofit,United States,Fishersville,EST
2160,Automation Anywhere,290,2200.0,Computer Software,"Robotic Process Automation, Automation Software, RPA, Intelligent Automation, Hyperautomation, BPO, AI, ML, Shared Services, SAP, Artificial Intelligence, OCR, Process Automation, Document Processing, Automation",Privately Held,United States,San Jose,EST
2170,Autotrader US,1500,4000.0,Marketing & Advertising,"advertising vehicles, research vehicles, Merchandising",Privately Held,United States,Atlanta,EST
2180,Avanos Medical,700,600.0,Medical Device,"Non-Opioid Pain Management Solutions, Digestive Health Solutions, Respiratory Health Solutions, medical equipment manufacturing",Public Company,United States,Alpharetta,EST
2190,Avantor,6200,12500.0,Biotechnology Research,"Life Science, Advanced Materials, Pharmaceutical Chemicals, Biopharmaceutical Chemicals, BioMaterials, Drug Delivery, Academic Research Chemicals, Laboratory Research Chemicals, Diagnostic Solutions, Environmental Testing Chemicals, Semiconductor Manufacturing Materials, Space-grade Silicones, advanced technology, Biopharma, Healthcare, Education, Government, Applied materials, Services",Public Company,United States,Radnor Township,EST
2200,Aviation Institute of Maintenance,300,500.0,Education Administration Programs,"FAA Approved Airframe and Powerplant School, Aviation Maintenance Technical Engineer (AMTE), Aviation Maintenance Technician (AMT), Avionics Technician, Advanced Structures Technician, Combination Welding, Helicopter Maintenance, Unmanned Aircraft Systems, Human Factors, Aviation Careers, Federal Aviation Maintenance Certificate, Airman Knowledge Testing Center",Educational Institution,United States,Virginia Beach,EST
2210,Avnet,19800,15400.0,IT Services and IT Consulting,"electronic components, embedded solutions, design chain services, supply chain services, IoT",Public Company,United States,Phoenix,EST
2220,Avnet Integrated,1500,5000.0,IT Services and IT Consulting,"Electronics Manufacturing, Product Development, Electronics Consulting, Internet of Things, IoT, Electronics Design, Data Center Solutions, Servers, Liquid Cooling Servers, IT, Integration, Product Design, Computer Hardware, Micro Data Centers, Micro data computing, global, Systems Integration, Systems Design, Electronic Components, Supply Chain, Global Supply Chain Management, Support Services, Emerging Technology, Design Engineering, Value Added Distribution, OEM, technology selection, Warranty services, systems manufacturing, Integration, Integration solutions, Value Added Reseller, VAR, ISV, embedded systems, product design, product development, Liquid cooling, AI, High performance computing, Immersion Cooling",,United States,Chandler,EST
2230,B.R.M.B.Ed. College of Education Chittoor,-,150.0,Higher Education,,Educational,Pakistan,Lahore,PKT
2240,BAE Systems Saudi Arabia,2200,2500.0,Defense and Space Manufacturing,"Combat Systems, Information Technology, Transformational Communications, Cyber and Intelligence, Aircraft manufacture, Engineering",Public Company,Saudi Arabia,Riyadh,AST
2250,BAPS Swaminarayan Sanstha,58.3,500.0,Non-profit Organizations,,Nonprofit,United States,Windsor,EST
2260,BDI,700,2200.0,Wholesale,"bearings, power transmission, fluid power, linear motion, safety supplies, general industrial, electrical",Privately Held,United States,Cleveland,EST
2270,BEEAH Group,600,1200.0,Environmental Services,"Air Quality Monitoring and management, Environmental Education, CSR initiatives, energy, Sustainable transportation, waste management, environmental consultancy services, waste to energy, water quality, recycling, Digitalization, Sustainability , Renewable Energy",Partnership,United Arab Emirates,Sharjah,GST
2280,BJC HealthCare,5200,31000.0,Hospitals and Health Care,"Healthcare, medical, inpatient care, primary care, community health and wellness, workplace health, home health, community mental health, rehabilitation, long-term care, hospice, outpatient care",Nonprofit,United States,St. Louis,EST
2290,BMC - Building Materials and Construction Solutions,9000,9500.0,Wholesale Building Materials,"Construction, Lumber, Building Materials, Millwork, windows, doors",Public Company,United States,Raleigh,EST
2300,BOK Financial,1700,4900.0,Financial Services,"Personal Services, Business Services, Wealth Management, Mortgage, Consumer Banking, Commercial Banking, Private Banking, Treasury Services, Checking, Digital Banking, Home Loans, Savings, Financial Planning, Investment Services, Insurance Services, Investment Management, Trust Services, Commercial Real Estate, Healthcare Financial Services, Energy Financial Services",Public Company,United States,Tulsa,EST
